"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexCRUDViolation.cls","7","4","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"2","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexCSRF.cls","3","9","ApexCSRF","Avoid making DML operations in Apex class constructor or initializers","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_errorprone.html#apexcsrf","Error Prone","pmd"
"3","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexCSRF.cls","4","3","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"4","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexCSRF.cls","7","9","ApexCSRF","Avoid making DML operations in Apex class constructor or initializers","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_errorprone.html#apexcsrf","Error Prone","pmd"
"5","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexCSRF.cls","8","3","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"6","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexInsecureEndpoint.cls","4","33","ApexInsecureEndpoint","Apex callouts should use encrypted communication channels","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexinsecureendpoint","Security","pmd"
"7","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexOpenRedirect.cls","6","42","ApexOpenRedirect","Apex classes should safely redirect to a known location","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexopenredirect","Security","pmd"
"8","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexSOQLInjection.cls","1","14","ApexSharingViolations","Apex classes should declare a sharing model if DML or SOQL/SOSL is used","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations","Security","pmd"
"9","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexSharingViolations.cls","1","14","ApexSharingViolations","Apex classes should declare a sharing model if DML or SOQL/SOSL is used","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations","Security","pmd"
"10","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexSharingViolations.cls","4","3","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"11","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexSuggestUsingNamedCred.cls","9","17","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"12","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexXSSFromURLParam.cls","6","11","ApexXSSFromURLParam","Apex classes should escape/sanitize Strings obtained from URL parameters","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexxssfromurlparam","Security","pmd"
"13","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/AvoidDmlStatementsInLoops.cls","5","4","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"14","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/AvoidSoqlInLoops.cls","7","23","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"15","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/EmptyCatchBlock.cls","5","4","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"16","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/EmptyIfStmt.cls","8","4","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"17","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/EmptyTryOrFinallyBlock.cls","5","4","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"18","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/EnforceCrudFlsWithUserMode.cls","4","16","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"19","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ForLoopsMustUseBraces.cls","7","3","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"20","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/IfElseStmtsMustUseBraces.cls","8","4","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"21","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/IfStmtsMustUseBraces.cls","5","4","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"22","1","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexBadCrypto.cls","1","1","files-must-compile","PMDException: Error while parsing /Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexBadCrypto.cls
Caused by: net.sourceforge.pmd.lang.ast.ParseException: apex.jorje.services.exception.ParseException: Syntax(error = UnexpectedToken(loc = (13, 10, 115, 117), token = 'as'))","","Scanner Internal","pmd"
"23","1","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/Voldemort.cls","1","1","files-must-compile","PMDException: Error while parsing /Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/Voldemort.cls
Caused by: net.sourceforge.pmd.lang.ast.ParseException: apex.jorje.services.exception.ParseException: Syntax(error = UnexpectedToken(loc = (47, 10, 310, 312), token = 'as'))","","Scanner Internal","pmd"
